format_version,preset,suite,case,scale,operations,samples,p50_us,p95_us,max_us,mean_us,ns_per_operation,bytes_per_frame,parameters
2,full,Object,Create,1000,1000,5,1038,1070,1070,1008.2,1008.200,0,
2,full,Object,Find,1000,1000,5,221,258,258,222.400,222.400,0,found=1000
2,full,Object,Rename,1000,1000,5,873,885,885,842.400,842.400,0,
2,full,Object,Destroy,1000,1000,5,39693,39813,39813,31963.200,31963.200,0,
2,full,Object,Create,10000,10000,5,10579,11192,11192,10705.200,1070.520,0,
2,full,Object,Find,10000,10000,5,4837,5040,5040,4722.000,472.200,0,found=10000
2,full,Object,Rename,10000,10000,5,10341,10556,10556,10141.400,1014.140,0,
2,full,Object,Destroy,10000,10000,5,435701,438109,438109,363633.400,36363.340,0,
2,full,Object,Create,100000,100000,5,116466,140873,140873,124521.800,1245.218,0,
2,full,Object,Find,100000,100000,5,61407,65831,65831,61709.400,617.094,0,found=100000
2,full,Object,Rename,100000,100000,5,124437,184505,184505,140786.600,1407.866,0,
2,full,Object,Destroy,100000,100000,5,7100452,7573463,7573463,7178833.800,71788.338,0,
2,full,Tick,StaticSchedule,1000,1000,5,364,387,387,366.800,366.800,0,
2,full,Tick,DependencyChange,1000,1000,5,598,627,627,598.800,598.800,0,chain=1
2,full,Tick,StaticSchedule,10000,10000,5,23412,23939,23939,23394.200,2339.420,0,
2,full,Tick,DependencyChange,10000,10000,5,33498,35581,35581,33902.400,3390.240,0,chain=1
2,full,GC,Collect,1000,1000,5,314,395,395,316.800,316.800,0,survival=10;density=0;outer_depth=0;collected=900
2,full,GC,Collect,1000,1000,5,270,345,345,285.200,285.200,0,survival=50;density=2;outer_depth=4;collected=500
2,full,GC,Collect,1000,1000,5,363,390,390,371.600,371.600,0,survival=90;density=8;outer_depth=16;collected=100
2,full,GC,Collect,10000,10000,5,2093,2582,2582,2121.200,212.120,0,survival=10;density=0;outer_depth=0;collected=9000
2,full,GC,Collect,10000,10000,5,1382,1589,1589,1315.400,131.540,0,survival=50;density=2;outer_depth=4;collected=5000
2,full,GC,Collect,10000,10000,5,2141,2621,2621,2307.800,230.780,0,survival=90;density=8;outer_depth=16;collected=1000
2,full,Replication,DirtyScan,100,100,5,49,50,50,49.000,490.000,23,dirty_percent=1
2,full,Replication,DirtyScan,100,100,5,50,50,50,49.800,498.000,230,dirty_percent=10
2,full,Replication,DirtyScan,100,100,5,81,86,86,81.600,816.000,2300,dirty_percent=100
2,full,Replication,DirtyScan,1000,1000,5,1015,1038,1038,1020.800,1020.800,230,dirty_percent=1
2,full,Replication,DirtyScan,1000,1000,5,1076,1089,1089,1063.600,1063.600,2300,dirty_percent=10
2,full,Replication,DirtyScan,1000,1000,5,1355,1398,1398,1360.200,1360.200,23000,dirty_percent=100
