format_version,preset,suite,case,scale,operations,samples,p50_us,p95_us,max_us,mean_us,ns_per_operation,bytes_per_frame,parameters
2,full,Object,Create,1000,1000,5,865,902,902,865,865.000,0,
2,full,Object,Find,1000,1000,5,226,335,335,245.400,245.400,0,found=1000
2,full,Object,Rename,1000,1000,5,848,1250,1250,944.800,944.800,0,
2,full,Object,Destroy,1000,1000,5,203,295,295,214.200,214.200,0,
2,full,Object,HierarchyCreate,1000,1000,5,1094,1115,1115,1091.200,1091.200,0,parent_entries=1;child_relations=1000;estimated_storage_bytes=16264
2,full,Object,HierarchyDestroy,1000,1001,5,244,273,273,243.600,243.357,0,parent_entries=1;child_relations=1000;estimated_storage_bytes=16264
2,full,Object,Create,10000,10000,5,9823,10998,10998,10164.400,1016.440,0,
2,full,Object,Find,10000,10000,5,3724,5756,5756,4129.600,412.960,0,found=10000
2,full,Object,Rename,10000,10000,5,9016,11311,11311,9452.200,945.220,0,
2,full,Object,Destroy,10000,10000,5,2545,3810,3810,2617.800,261.780,0,
2,full,Object,HierarchyCreate,10000,10000,5,11203,12036,12036,11381.000,1138.100,0,parent_entries=1;child_relations=10000;estimated_storage_bytes=211144
2,full,Object,HierarchyDestroy,10000,10001,5,3256,3744,3744,3155.400,315.508,0,parent_entries=1;child_relations=10000;estimated_storage_bytes=211144
2,full,Object,Create,100000,100000,5,113680,143098,143098,124334.400,1243.344,0,
2,full,Object,Find,100000,100000,5,59440,65458,65458,60128.800,601.288,0,found=100000
2,full,Object,Rename,100000,100000,5,109926,144359,144359,116586.400,1165.864,0,
2,full,Object,Destroy,100000,100000,5,33865,107531,107531,49385.400,493.854,0,
2,full,Object,HierarchyCreate,100000,100000,5,128412,180959,180959,146723.400,1467.234,0,parent_entries=1;child_relations=100000;estimated_storage_bytes=1848648
2,full,Object,HierarchyDestroy,100000,100001,5,48375,172380,172380,72736.200,727.355,0,parent_entries=1;child_relations=100000;estimated_storage_bytes=1848648
2,full,Tick,StaticSchedule,1000,1000,5,190,215,215,189.800,189.800,0,
2,full,Tick,CachedStaticFrames,1000,60000,5,1199,1207,1207,1186.200,19.770,0,frames=60;schedule_rebuilds=0
2,full,Tick,DependencyChange,1000,1000,5,219,227,227,219.600,219.600,0,chain=1
2,full,Tick,StaticSchedule,10000,10000,5,2584,3094,3094,2651.200,265.120,0,
2,full,Tick,CachedStaticFrames,10000,600000,5,18120,20708,20708,18534.000,30.890,0,frames=60;schedule_rebuilds=0
2,full,Tick,DependencyChange,10000,10000,5,3376,4484,4484,3572.400,357.240,0,chain=1
2,full,GC,Collect,1000,1000,5,325,395,395,318.800,318.800,0,survival=10;density=0;outer_depth=0;collected=900
2,full,GC,Collect,1000,1000,5,291,312,312,293.000,293.000,0,survival=50;density=2;outer_depth=4;collected=500
2,full,GC,Collect,1000,1000,5,379,428,428,387.400,387.400,0,survival=90;density=8;outer_depth=16;collected=100
2,full,GC,Collect,10000,10000,5,1651,1824,1824,1550.200,155.020,0,survival=10;density=0;outer_depth=0;collected=9000
2,full,GC,Collect,10000,10000,5,2052,2216,2216,1944.400,194.440,0,survival=50;density=2;outer_depth=4;collected=5000
2,full,GC,Collect,10000,10000,5,2507,2770,2770,2515.400,251.540,0,survival=90;density=8;outer_depth=16;collected=1000
2,full,Replication,DirtyScan,100,100,5,50,55,55,51.600,516.000,23,dirty_percent=1
2,full,Replication,DirtyScan,100,100,5,51,57,57,53.400,534.000,230,dirty_percent=10
2,full,Replication,DirtyScan,100,100,5,83,95,95,87.000,870.000,2300,dirty_percent=100
2,full,Replication,DirtyScan,1000,1000,5,1038,1103,1103,1048.000,1048.000,230,dirty_percent=1
2,full,Replication,DirtyScan,1000,1000,5,1070,1133,1133,1082.400,1082.400,2300,dirty_percent=10
2,full,Replication,DirtyScan,1000,1000,5,1370,1409,1409,1375.800,1375.800,23000,dirty_percent=100
