format_version,preset,suite,case,scale,operations,samples,p50_us,p95_us,max_us,mean_us,ns_per_operation,bytes_per_frame,parameters
3,full,Object,Create,1000,1000,1,888,888,888,888,888.000,0,
3,full,Object,Find,1000,1000,1,272,272,272,272.000,272.000,0,found=1000
3,full,Object,Rename,1000,1000,1,812,812,812,812.000,812.000,0,
3,full,Object,Destroy,1000,1000,1,183,183,183,183.000,183.000,0,
3,full,Object,HierarchyCreate,1000,1000,1,1200,1200,1200,1200.000,1200.000,0,parent_entries=1;child_relations=1000;estimated_storage_bytes=16264
3,full,Object,HierarchyDestroy,1000,1001,1,327,327,327,327.000,326.673,0,parent_entries=1;child_relations=1000;estimated_storage_bytes=16264
3,full,Object,Create,10000,10000,1,12169,12169,12169,12169.000,1216.900,0,
3,full,Object,Find,10000,10000,1,2767,2767,2767,2767.000,276.700,0,found=10000
3,full,Object,Rename,10000,10000,1,8853,8853,8853,8853.000,885.300,0,
3,full,Object,Destroy,10000,10000,1,2089,2089,2089,2089.000,208.900,0,
3,full,Object,HierarchyCreate,10000,10000,1,11586,11586,11586,11586.000,1158.600,0,parent_entries=1;child_relations=10000;estimated_storage_bytes=211144
3,full,Object,HierarchyDestroy,10000,10001,1,3050,3050,3050,3050.000,304.970,0,parent_entries=1;child_relations=10000;estimated_storage_bytes=211144
3,full,Object,Create,100000,100000,1,131538,131538,131538,131538.000,1315.380,0,
3,full,Object,Find,100000,100000,1,60306,60306,60306,60306.000,603.060,0,found=100000
3,full,Object,Rename,100000,100000,1,139618,139618,139618,139618.000,1396.180,0,
3,full,Object,Destroy,100000,100000,1,33910,33910,33910,33910.000,339.100,0,
3,full,Object,HierarchyCreate,100000,100000,1,174465,174465,174465,174465.000,1744.650,0,parent_entries=1;child_relations=100000;estimated_storage_bytes=1848648
3,full,Object,HierarchyDestroy,100000,100001,1,51111,51111,51111,51111.000,511.105,0,parent_entries=1;child_relations=100000;estimated_storage_bytes=1848648
3,full,Tick,StaticSchedule,1000,1000,1,184,184,184,184.000,184.000,0,
3,full,Tick,CachedStaticFrames,1000,60000,1,1161,1161,1161,1161.000,19.350,0,frames=60;schedule_rebuilds=0
3,full,Tick,DependencyChange,1000,1000,1,216,216,216,216.000,216.000,0,chain=1
3,full,Tick,StaticSchedule,10000,10000,1,2405,2405,2405,2405.000,240.500,0,
3,full,Tick,CachedStaticFrames,10000,600000,1,17593,17593,17593,17593.000,29.322,0,frames=60;schedule_rebuilds=0
3,full,Tick,DependencyChange,10000,10000,1,3272,3272,3272,3272.000,327.200,0,chain=1
3,full,GC,Collect,1000,1000,1,295,295,295,295.000,295.000,0,survival=10;density=0;outer_depth=0;collected=900
3,full,GC,Collect,1000,1000,1,327,327,327,327.000,327.000,0,survival=50;density=2;outer_depth=4;collected=500
3,full,GC,Collect,1000,1000,1,366,366,366,366.000,366.000,0,survival=90;density=8;outer_depth=16;collected=100
3,full,GC,Collect,10000,10000,1,1536,1536,1536,1536.000,153.600,0,survival=10;density=0;outer_depth=0;collected=9000
3,full,GC,Collect,10000,10000,1,2029,2029,2029,2029.000,202.900,0,survival=50;density=2;outer_depth=4;collected=5000
3,full,GC,Collect,10000,10000,1,2139,2139,2139,2139.000,213.900,0,survival=90;density=8;outer_depth=16;collected=1000
3,full,Replication,DirtyScan,100,100,1,56,56,56,56.000,560.000,23,dirty_percent=1
3,full,Replication,DirtyScan,100,100,1,51,51,51,51.000,510.000,230,dirty_percent=10
3,full,Replication,DirtyScan,100,100,1,79,79,79,79.000,790.000,2300,dirty_percent=100
3,full,Replication,DirtyScan,1000,1000,1,1032,1032,1032,1032.000,1032.000,230,dirty_percent=1
3,full,Replication,DirtyScan,1000,1000,1,1052,1052,1052,1052.000,1052.000,2300,dirty_percent=10
3,full,Replication,DirtyScan,1000,1000,1,1367,1367,1367,1367.000,1367.000,23000,dirty_percent=100
