format_version,preset,suite,case,scale,operations,samples,p50_us,p95_us,max_us,mean_us,ns_per_operation,bytes_per_frame,actors_skipped,dirty_actors,dirty_properties,encoded_properties,schema_cache_hits,schema_cache_misses,channel_index_hits,gather_p50_ns,compare_p50_ns,serialize_p50_ns,queue_p50_ns,parameters
3,full,Object,Create,1000,1000,5,858,912,912,866,866.000,0,0,0,0,0,0,0,0,0,0,0,0,
3,full,Object,Find,1000,1000,5,206,240,240,212.000,212.000,0,0,0,0,0,0,0,0,0,0,0,0,found=1000
3,full,Object,Rename,1000,1000,5,858,1119,1119,888.200,888.200,0,0,0,0,0,0,0,0,0,0,0,0,
3,full,Object,Destroy,1000,1000,5,209,257,257,217.400,217.400,0,0,0,0,0,0,0,0,0,0,0,0,
3,full,Object,HierarchyCreate,1000,1000,5,1093,1166,1166,1105.200,1105.200,0,0,0,0,0,0,0,0,0,0,0,0,parent_entries=1;child_relations=1000;estimated_storage_bytes=16264
3,full,Object,HierarchyDestroy,1000,1001,5,260,276,276,254.000,253.746,0,0,0,0,0,0,0,0,0,0,0,0,parent_entries=1;child_relations=1000;estimated_storage_bytes=16264
3,full,Object,Create,10000,10000,5,10343,11527,11527,10537.800,1053.780,0,0,0,0,0,0,0,0,0,0,0,0,
3,full,Object,Find,10000,10000,5,3145,4393,4393,3337.200,333.720,0,0,0,0,0,0,0,0,0,0,0,0,found=10000
3,full,Object,Rename,10000,10000,5,9142,9674,9674,9114.000,911.400,0,0,0,0,0,0,0,0,0,0,0,0,
3,full,Object,Destroy,10000,10000,5,2442,2917,2917,2428.400,242.840,0,0,0,0,0,0,0,0,0,0,0,0,
3,full,Object,HierarchyCreate,10000,10000,5,11694,12775,12775,11835.200,1183.520,0,0,0,0,0,0,0,0,0,0,0,0,parent_entries=1;child_relations=10000;estimated_storage_bytes=211144
3,full,Object,HierarchyDestroy,10000,10001,5,2890,3254,3254,2929.000,292.871,0,0,0,0,0,0,0,0,0,0,0,0,parent_entries=1;child_relations=10000;estimated_storage_bytes=211144
3,full,Object,Create,100000,100000,5,115431,147815,147815,126523.000,1265.230,0,0,0,0,0,0,0,0,0,0,0,0,
3,full,Object,Find,100000,100000,5,59356,64836,64836,60564.200,605.642,0,0,0,0,0,0,0,0,0,0,0,0,found=100000
3,full,Object,Rename,100000,100000,5,109297,144062,144062,116478.600,1164.786,0,0,0,0,0,0,0,0,0,0,0,0,
3,full,Object,Destroy,100000,100000,5,39022,107867,107867,51357.200,513.572,0,0,0,0,0,0,0,0,0,0,0,0,
3,full,Object,HierarchyCreate,100000,100000,5,134597,188689,188689,151155.600,1511.556,0,0,0,0,0,0,0,0,0,0,0,0,parent_entries=1;child_relations=100000;estimated_storage_bytes=1848648
3,full,Object,HierarchyDestroy,100000,100001,5,47411,184432,184432,75111.400,751.106,0,0,0,0,0,0,0,0,0,0,0,0,parent_entries=1;child_relations=100000;estimated_storage_bytes=1848648
3,full,Tick,StaticSchedule,1000,1000,5,183,194,194,181.200,181.200,0,0,0,0,0,0,0,0,0,0,0,0,
3,full,Tick,CachedStaticFrames,1000,60000,5,1211,1243,1243,1207.600,20.127,0,0,0,0,0,0,0,0,0,0,0,0,frames=60;schedule_rebuilds=0
3,full,Tick,DependencyChange,1000,1000,5,220,232,232,221.200,221.200,0,0,0,0,0,0,0,0,0,0,0,0,chain=1
3,full,Tick,StaticSchedule,10000,10000,5,2309,3089,3089,2511.000,251.100,0,0,0,0,0,0,0,0,0,0,0,0,
3,full,Tick,CachedStaticFrames,10000,600000,5,18775,19565,19565,18942.000,31.570,0,0,0,0,0,0,0,0,0,0,0,0,frames=60;schedule_rebuilds=0
3,full,Tick,DependencyChange,10000,10000,5,3365,3861,3861,3441.800,344.180,0,0,0,0,0,0,0,0,0,0,0,0,chain=1
3,full,GC,Collect,1000,1000,5,278,311,311,284.200,284.200,0,0,0,0,0,0,0,0,0,0,0,0,survival=10;density=0;outer_depth=0;collected=900
3,full,GC,Collect,1000,1000,5,281,293,293,282.800,282.800,0,0,0,0,0,0,0,0,0,0,0,0,survival=50;density=2;outer_depth=4;collected=500
3,full,GC,Collect,1000,1000,5,496,1147,1147,651.600,651.600,0,0,0,0,0,0,0,0,0,0,0,0,survival=90;density=8;outer_depth=16;collected=100
3,full,GC,Collect,10000,10000,5,1285,1486,1486,1301.600,130.160,0,0,0,0,0,0,0,0,0,0,0,0,survival=10;density=0;outer_depth=0;collected=9000
3,full,GC,Collect,10000,10000,5,1603,1766,1766,1622.400,162.240,0,0,0,0,0,0,0,0,0,0,0,0,survival=50;density=2;outer_depth=4;collected=5000
3,full,GC,Collect,10000,10000,5,2432,2875,2875,2511.200,251.120,0,0,0,0,0,0,0,0,0,0,0,0,survival=90;density=8;outer_depth=16;collected=1000
3,full,Replication,DirtyScan,100,100,5,11,12,12,11.200,112.000,23,99,1,1,1,100,0,100,3200,200,400,0,dirty_percent=1
3,full,Replication,DirtyScan,100,100,5,16,17,17,16.200,162.000,230,90,10,10,10,100,0,100,4600,500,2700,400,dirty_percent=10
3,full,Replication,DirtyScan,100,100,5,77,92,92,79.800,798.000,2300,0,100,100,100,100,0,100,20100,5800,28000,2900,dirty_percent=100
3,full,Replication,DirtyScan,1000,1000,5,144,173,173,150.400,150.400,230,990,10,10,10,1000,0,1000,44500,800,3100,300,dirty_percent=1
3,full,Replication,DirtyScan,1000,1000,5,179,274,274,197.400,197.400,2300,900,100,100,100,1000,0,1000,40500,6500,29000,2500,dirty_percent=10
3,full,Replication,DirtyScan,1000,1000,5,846,1278,1278,947.000,947.000,23000,0,1000,1000,1000,1000,0,1000,201500,70800,296100,26400,dirty_percent=100
