format_version,preset,suite,case,scale,operations,samples,p50_us,p95_us,max_us,mean_us,ns_per_operation,bytes_per_frame,actors_skipped,dirty_actors,dirty_properties,encoded_properties,schema_cache_hits,schema_cache_misses,channel_index_hits,gather_p50_ns,compare_p50_ns,serialize_p50_ns,queue_p50_ns,gc_root_scan_p50_ns,gc_mark_p50_ns,gc_unreachable_sort_p50_ns,gc_destroy_p50_ns,gc_strong_reference_layouts,gc_strong_reference_properties,gc_scratch_peak_bytes,gc_scratch_reserved_bytes,gc_scratch_growth_count,parameters
3,full,Object,Create,1000,1000,5,896,963,963,911.6,911.600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,full,Object,Find,1000,1000,5,246,305,305,249.800,249.800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,found=1000
3,full,Object,Rename,1000,1000,5,853,1229,1229,917.200,917.200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,full,Object,Destroy,1000,1000,5,206,249,249,216.400,216.400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,full,Object,HierarchyCreate,1000,1000,5,1078,2362,2362,1325.000,1325.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,parent_entries=1;child_relations=1000;estimated_storage_bytes=16264
3,full,Object,HierarchyDestroy,1000,1001,5,296,479,479,319.800,319.481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,parent_entries=1;child_relations=1000;estimated_storage_bytes=16264
3,full,Object,Create,10000,10000,5,10154,12932,12932,10619.200,1061.920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,full,Object,Find,10000,10000,5,4226,5523,5523,4302.200,430.220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,found=10000
3,full,Object,Rename,10000,10000,5,8803,10285,10285,9167.800,916.780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,full,Object,Destroy,10000,10000,5,2258,2878,2878,2351.600,235.160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,full,Object,HierarchyCreate,10000,10000,5,11395,13389,13389,11693.400,1169.340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,parent_entries=1;child_relations=10000;estimated_storage_bytes=211144
3,full,Object,HierarchyDestroy,10000,10001,5,2787,3343,3343,2926.800,292.651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,parent_entries=1;child_relations=10000;estimated_storage_bytes=211144
3,full,Object,Create,100000,100000,5,116802,158783,158783,128076.000,1280.760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,full,Object,Find,100000,100000,5,56941,70268,70268,59864.400,598.644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,found=100000
3,full,Object,Rename,100000,100000,5,103757,149800,149800,113839.600,1138.396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,full,Object,Destroy,100000,100000,5,32290,106521,106521,46953.400,469.534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,full,Object,HierarchyCreate,100000,100000,5,126379,182759,182759,146879.800,1468.798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,parent_entries=1;child_relations=100000;estimated_storage_bytes=1848648
3,full,Object,HierarchyDestroy,100000,100001,5,47671,155752,155752,69025.400,690.247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,parent_entries=1;child_relations=100000;estimated_storage_bytes=1848648
3,full,Tick,StaticSchedule,1000,1000,5,174,196,196,179.200,179.200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,full,Tick,CachedStaticFrames,1000,60000,5,1139,1157,1157,1142.200,19.037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,frames=60;schedule_rebuilds=0
3,full,Tick,DependencyChange,1000,1000,5,213,221,221,213.600,213.600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chain=1
3,full,Tick,StaticSchedule,10000,10000,5,2753,2879,2879,2593.800,259.380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,full,Tick,CachedStaticFrames,10000,600000,5,18036,19617,19617,18313.800,30.523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,frames=60;schedule_rebuilds=0
3,full,Tick,DependencyChange,10000,10000,5,3276,3540,3540,3360.400,336.040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chain=1
3,full,GC,Collect,1000,1000,5,271,307,307,271.400,271.400,0,0,0,0,0,0,0,0,0,0,0,0,42300,1600,62700,66200,102,0,26901,352440,11,survival=10;density=0;outer_depth=0;collected=900
3,full,GC,Collect,1000,1000,5,234,259,259,237.400,237.400,0,0,0,0,0,0,0,0,0,0,0,0,41300,9700,63300,60800,502,0,20501,352440,11,survival=50;density=2;outer_depth=4;collected=500
3,full,GC,Collect,1000,1000,5,214,228,228,215.800,215.800,0,0,0,0,0,0,0,0,0,0,0,0,42100,37300,63600,12100,902,0,26061,352440,11,survival=90;density=8;outer_depth=16;collected=100
3,full,GC,Collect,10000,10000,5,1030,1507,1507,1139.400,113.940,0,0,0,0,0,0,0,0,0,0,0,0,71200,6800,107900,788300,1002,0,156501,352440,11,survival=10;density=0;outer_depth=0;collected=9000
3,full,GC,Collect,10000,10000,5,1265,1680,1680,1314.000,131.400,0,0,0,0,0,0,0,0,0,0,0,0,62400,88000,104300,945600,5002,0,92501,352440,11,survival=50;density=2;outer_depth=4;collected=5000
3,full,GC,Collect,10000,10000,5,812,1168,1168,850.600,85.060,0,0,0,0,0,0,0,0,0,0,0,0,67100,346900,94100,217400,9002,0,147565,352440,11,survival=90;density=8;outer_depth=16;collected=1000
3,full,Replication,DirtyScan,100,100,5,11,11,11,10.800,108.000,23,99,1,1,1,100,0,100,3400,200,400,0,0,0,0,0,0,0,0,0,0,dirty_percent=1
3,full,Replication,DirtyScan,100,100,5,16,16,16,15.600,156.000,230,90,10,10,10,100,0,100,4400,800,2700,200,0,0,0,0,0,0,0,0,0,dirty_percent=10
3,full,Replication,DirtyScan,100,100,5,74,77,77,75.000,750.000,2300,0,100,100,100,100,0,100,19600,5300,27900,2900,0,0,0,0,0,0,0,0,0,dirty_percent=100
3,full,Replication,DirtyScan,1000,1000,5,147,230,230,171.600,171.600,230,990,10,10,10,1000,0,1000,45500,1000,3200,300,0,0,0,0,0,0,0,0,0,dirty_percent=1
3,full,Replication,DirtyScan,1000,1000,5,171,176,176,170.200,170.200,2300,900,100,100,100,1000,0,1000,38600,6300,27400,2900,0,0,0,0,0,0,0,0,0,dirty_percent=10
3,full,Replication,DirtyScan,1000,1000,5,784,828,828,795.400,795.400,23000,0,1000,1000,1000,1000,0,1000,185800,62100,275700,23900,0,0,0,0,0,0,0,0,0,dirty_percent=100
