format_version,preset,suite,case,scale,operations,samples,p50_us,p95_us,max_us,mean_us,ns_per_operation,bytes_per_frame,actors_skipped,dirty_actors,dirty_properties,encoded_properties,schema_cache_hits,schema_cache_misses,channel_index_hits,gather_p50_ns,compare_p50_ns,serialize_p50_ns,queue_p50_ns,gc_root_scan_p50_ns,gc_mark_p50_ns,gc_unreachable_sort_p50_ns,gc_destroy_p50_ns,gc_strong_reference_layouts,gc_strong_reference_properties,gc_scratch_peak_bytes,gc_scratch_reserved_bytes,gc_scratch_growth_count,parameters
3,full,Object,Create,1000,1000,5,870,932,932,878.6,878.600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,full,Object,Find,1000,1000,5,199,239,239,207.400,207.400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,found=1000
3,full,Object,Rename,1000,1000,5,803,950,950,796.600,796.600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,full,Object,Destroy,1000,1000,5,212,287,287,219.600,219.600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,full,Object,HierarchyCreate,1000,1000,5,1019,1059,1059,994.400,994.400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,parent_entries=1;child_relations=1000;estimated_storage_bytes=16264
3,full,Object,HierarchyDestroy,1000,1001,5,251,281,281,251.200,250.949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,parent_entries=1;child_relations=1000;estimated_storage_bytes=16264
3,full,Object,Create,10000,10000,5,9553,10860,10860,9930.600,993.060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,full,Object,Find,10000,10000,5,3110,3779,3779,3168.000,316.800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,found=10000
3,full,Object,Rename,10000,10000,5,7801,8514,8514,7645.000,764.500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,full,Object,Destroy,10000,10000,5,1937,2199,2199,1996.800,199.680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,full,Object,HierarchyCreate,10000,10000,5,9874,10081,10081,9926.200,992.620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,parent_entries=1;child_relations=10000;estimated_storage_bytes=211144
3,full,Object,HierarchyDestroy,10000,10001,5,2642,3373,3373,2804.800,280.452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,parent_entries=1;child_relations=10000;estimated_storage_bytes=211144
3,full,Object,Create,100000,100000,5,104712,110475,110475,105485.600,1054.856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,full,Object,Find,100000,100000,5,51507,52968,52968,50359.600,503.596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,found=100000
3,full,Object,Rename,100000,100000,5,98843,116394,116394,102085.200,1020.852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,full,Object,Destroy,100000,100000,5,30926,31853,31853,30945.400,309.454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,full,Object,HierarchyCreate,100000,100000,5,116407,149945,149945,124157.800,1241.578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,parent_entries=1;child_relations=100000;estimated_storage_bytes=1848648
3,full,Object,HierarchyDestroy,100000,100001,5,47839,52763,52763,48765.400,487.649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,parent_entries=1;child_relations=100000;estimated_storage_bytes=1848648
3,full,Tick,StaticSchedule,1000,1000,5,323,445,445,309.400,309.400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,full,Tick,CachedStaticFrames,1000,60000,5,1178,1514,1514,1232.800,20.547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,frames=60;schedule_rebuilds=0
3,full,Tick,DependencyChange,1000,1000,5,256,263,263,249.600,249.600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chain=1
3,full,Tick,StaticSchedule,10000,10000,5,2772,3210,3210,2878.600,287.860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,full,Tick,CachedStaticFrames,10000,600000,5,17408,17821,17821,17452.400,29.087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,frames=60;schedule_rebuilds=0
3,full,Tick,DependencyChange,10000,10000,5,3424,3727,3727,3503.600,350.360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chain=1
3,full,GC,Collect,1000,1000,5,227,311,311,242.800,242.800,0,0,0,0,0,0,0,0,0,0,0,0,40700,1600,42700,61900,102,0,26901,352440,11,survival=10;density=0;outer_depth=0;collected=900
