format_version,preset,suite,case,scale,operations,samples,p50_us,p95_us,max_us,mean_us,ns_per_operation,bytes_per_frame,actors_skipped,dirty_actors,dirty_properties,encoded_properties,schema_cache_hits,schema_cache_misses,channel_index_hits,gather_p50_ns,compare_p50_ns,serialize_p50_ns,queue_p50_ns,gc_root_scan_p50_ns,gc_mark_p50_ns,gc_unreachable_sort_p50_ns,gc_destroy_p50_ns,gc_strong_reference_layouts,gc_strong_reference_properties,gc_scratch_peak_bytes,gc_scratch_reserved_bytes,gc_scratch_growth_count,parameters
3,full,Object,Create,1000,1000,5,921,961,961,915.6,915.600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,full,Object,Find,1000,1000,5,199,488,488,255.600,255.600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,found=1000
3,full,Object,Rename,1000,1000,5,832,865,865,803.400,803.400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,full,Object,Destroy,1000,1000,5,249,263,263,239.400,239.400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,full,Object,HierarchyCreate,1000,1000,5,1084,1172,1172,1069.200,1069.200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,parent_entries=1;child_relations=1000;estimated_storage_bytes=16264
3,full,Object,HierarchyDestroy,1000,1001,5,308,345,345,296.200,295.904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,parent_entries=1;child_relations=1000;estimated_storage_bytes=16264
3,full,Object,Create,10000,10000,5,10298,12532,12532,10679.600,1067.960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,full,Object,Find,10000,10000,5,2780,5028,5028,3226.400,322.640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,found=10000
3,full,Object,Rename,10000,10000,5,7672,8681,8681,7852.600,785.260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,full,Object,Destroy,10000,10000,5,2549,3100,3100,2577.400,257.740,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,full,Object,HierarchyCreate,10000,10000,5,10813,11113,11113,10764.000,1076.400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,parent_entries=1;child_relations=10000;estimated_storage_bytes=211144
3,full,Object,HierarchyDestroy,10000,10001,5,3204,3273,3273,3204.600,320.428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,parent_entries=1;child_relations=10000;estimated_storage_bytes=211144
3,full,Object,Create,100000,100000,5,112205,118373,118373,111697.400,1116.974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,full,Object,Find,100000,100000,5,51198,57191,57191,52471.400,524.714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,found=100000
3,full,Object,Rename,100000,100000,5,107830,109699,109699,104234.000,1042.340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,full,Object,Destroy,100000,100000,5,35819,48244,48244,37352.800,373.528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,full,Object,HierarchyCreate,100000,100000,5,126006,169313,169313,139003.000,1390.030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,parent_entries=1;child_relations=100000;estimated_storage_bytes=1848648
3,full,Object,HierarchyDestroy,100000,100001,5,47617,51809,51809,47500.600,475.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,parent_entries=1;child_relations=100000;estimated_storage_bytes=1848648
3,full,HierarchyLayoutAB,Build,100000,100000,5,3141,3633,3633,3208.800,32.088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,layout=hashed;distribution=wide;parents=1;estimated_reserved_bytes=1448708
3,full,HierarchyLayoutAB,Traverse,100000,100000,5,352,411,411,361.800,3.618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,layout=hashed;distribution=wide;parents=1;estimated_reserved_bytes=1448708
3,full,HierarchyLayoutAB,Remove,100000,100000,5,1388,1461,1461,1386.400,13.864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,layout=hashed;distribution=wide;parents=1;estimated_reserved_bytes=1448708
3,full,HierarchyLayoutAB,Build,100000,100000,5,188,193,193,174.400,1.744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,layout=compact;distribution=wide;parents=1;estimated_reserved_bytes=1200100;child_slot_position_bytes=800008
3,full,HierarchyLayoutAB,Traverse,100000,100000,5,47,54,54,49.200,0.492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,layout=compact;distribution=wide;parents=1;estimated_reserved_bytes=1200100;child_slot_position_bytes=800008
3,full,HierarchyLayoutAB,Remove,100000,100000,5,1173,1448,1448,1216.000,12.160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,layout=compact;distribution=wide;parents=1;estimated_reserved_bytes=1200100;child_slot_position_bytes=800008
3,full,HierarchyLayoutAB,Build,100000,100000,5,3994,5860,5860,4457.400,44.574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,layout=hashed;distribution=typical;parents=10000;estimated_reserved_bytes=2491072
3,full,HierarchyLayoutAB,Traverse,100000,100000,5,341,870,870,439.800,4.398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,layout=hashed;distribution=typical;parents=10000;estimated_reserved_bytes=2491072
